sku,competitor,competitor_price
PO-100G-A0-1000-40-4,Competitor1,312.76
PO-100G-A0-1000-40-2,Competitor1,324.79
PO-100G-A0-1000-40-1,Competitor1,371.33
PO-100G-A0-100-40-4,Competitor1,119.34
PO-100G-A0-100-40-2,Competitor1,126.75
PO-100G-A0-100-40-1,Competitor1,149.92
PO-100G-A0-1500-40-4,Competitor1,403.26
PO-100G-A0-1500-40-2,Competitor1,416.21
PO-100G-A0-1500-40-1,Competitor1,470.54
PO-100G-A0-150-40-4,Competitor1,129.73
PO-100G-A0-150-40-2,Competitor1,136.89
PO-100G-A0-150-40-1,Competitor1,160.05
PO-100G-A0-2000-40-4,Competitor1,507.22
PO-100G-A0-2000-40-2,Competitor1,523.85
PO-100G-A0-2000-40-1,Competitor1,593.75
PO-100G-A0-200-40-4,Competitor1,141.71
PO-100G-A0-200-40-2,Competitor1,148.58
PO-100G-A0-200-40-1,Competitor1,171.75
PO-100G-A0-2500-40-4,Competitor1,611.16
PO-100G-A0-2500-40-2,Competitor1,631.46
PO-100G-A0-2500-40-1,Competitor1,716.95
PO-100G-A0-250-40-4,Competitor1,152.09
PO-100G-A0-250-40-2,Competitor1,158.72
PO-100G-A0-250-40-1,Competitor1,181.89
PO-100G-A0-3000-40-4,Competitor1,696.24
PO-100G-A0-3000-40-2,Competitor1,720.67
PO-100G-A0-3000-40-1,Competitor1,821.73
PO-100G-A0-300-40-4,Competitor1,156.37
PO-100G-A0-300-40-2,Competitor1,162.89
PO-100G-A0-300-40-1,Competitor1,186.06
PO-100G-A0-4000-40-4,Competitor1,882.79
PO-100G-A0-4000-40-2,Competitor1,911.99
PO-100G-A0-4000-40-1,Competitor1,1036.43
PO-100G-A0-400-40-4,Competitor1,186.69
PO-100G-A0-400-40-2,Competitor1,195.57
PO-100G-A0-400-40-1,Competitor1,226.53
PO-100G-A0-5000-40-4,Competitor1,1091.86
PO-100G-A0-5000-40-2,Competitor1,1131.47
PO-100G-A0-5000-40-1,Competitor1,1299.98
PO-100G-A0-500-40-4,Competitor1,205.73
PO-100G-A0-500-40-2,Competitor1,214.15
PO-100G-A0-500-40-1,Competitor1,245.11
PO-100G-A0-50-40-4,Competitor1,108.87
PO-100G-A0-50-40-2,Competitor1,116.53
PO-100G-A0-50-40-1,Competitor1,139.7
PO-100G-A0-750-40-4,Competitor1,255.39
PO-100G-A0-750-40-2,Competitor1,265.71
PO-100G-A0-750-40-1,Competitor1,304.46
PO-115A-A0-10000-40-9,Competitor1,2911.46
PO-115A-A1-10000-40-5,Competitor1,1479.37
PO-115A-A1-10000-40-2,Competitor1,1570.37
PO-115A-A2-10000-40-5,Competitor1,744.62
PO-115A-A2-10000-40-2,Competitor1,793.62
PO-115A-A3-10000-40-5,Competitor1,371.27
PO-115A-A3-10000-40-2,Competitor1,393.27
PO-115A-B1-10000-40-6,Competitor1,2246.28
PO-115A-B2-10000-40-5,Competitor1,1033.36
PO-115A-B2-10000-40-2,Competitor1,1088.36
PO-115A-A0-1000-40-4,Competitor1,427.09
PO-115A-A0-1000-40-2,Competitor1,439.47
PO-115A-A0-1000-40-1,Competitor1,493.79
PO-115A-A1-1000-40-4,Competitor1,204.1
PO-115A-A1-1000-40-2,Competitor1,220.1
PO-115A-A1-1000-40-1,Competitor1,257.9
PO-115A-A2-1000-40-4,Competitor1,114.82
PO-115A-A2-1000-40-2,Competitor1,127.82
PO-115A-A2-1000-40-1,Competitor1,158.02
PO-115A-A3-1000-40-4,Competitor1,60.76
PO-115A-A3-1000-40-2,Competitor1,70.76
PO-115A-A3-1000-40-1,Competitor1,93.36
PO-115A-A4-1000-40-5,Competitor1,37.97
PO-115A-A4-1000-40-2,Competitor1,47.97
PO-115A-B1-1000-40-4,Competitor1,315.06
PO-115A-B1-1000-40-2,Competitor1,327.04
PO-115A-B1-1000-40-1,Competitor1,373.57
PO-115A-B2-1000-40-4,Competitor1,153.14
PO-115A-B2-1000-40-2,Competitor1,166.14
PO-115A-B2-1000-40-1,Competitor1,196.34
PO-115A-A0-100-40-4,Competitor1,158.5
PO-115A-A0-100-40-2,Competitor1,164.97
PO-115A-A0-100-40-1,Competitor1,188.14
PO-115A-A1-100-40-4,Competitor1,74.35
PO-115A-A1-100-40-2,Competitor1,93.44
PO-115A-A1-100-40-1,Competitor1,116.04
PO-115A-A2-100-40-4,Competitor1,51
PO-115A-A2-100-40-2,Competitor1,61
PO-115A-A2-100-40-1,Competitor1,83.6
PO-115A-A3-100-40-4,Competitor1,34.94
PO-115A-A3-100-40-2,Competitor1,44.94
PO-115A-A3-100-40-1,Competitor1,67.54
PO-115A-A4-100-40-5,Competitor1,24.11
PO-115A-A4-100-40-2,Competitor1,34.11
PO-115A-B1-100-40-4,Competitor1,109.55
PO-115A-B1-100-40-2,Competitor1,117.19
PO-115A-B1-100-40-1,Competitor1,140.35
PO-115A-B2-100-40-4,Competitor1,60.13
