sku,salesprice_currency,supplier_currency,supplier_price,Production_days,supplier_price_salescountry,carrier_cost,carrier_currency,carrier_days,extra_days,carrier_cost_salescountry,@Quantity,@Turnaround,@Material,@Size,supplier_currency_original,supplier,carrier
PO-135G-A2-50-40-4,EUR,EUR,11.5,2,11.5,3.68,EUR,1,1,3.68,50,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-100-40-4,EUR,EUR,20.5,2,20.5,3.68,EUR,1,1,3.68,100,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-50-40-1,EUR,EUR,11.5,0,11.5,3.68,EUR,1,0,3.68,50,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-100-40-1,EUR,EUR,20.5,0,20.5,3.68,EUR,1,0,3.68,100,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A3-50-40-4,EUR,EUR,3.8,2,3.8,3.68,EUR,1,1,3.68,50,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-50-40-2,EUR,EUR,11.5,0,11.5,3.68,EUR,1,1,3.68,50,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A3-100-40-4,EUR,EUR,5.6,2,5.6,3.68,EUR,1,1,3.68,100,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A3-50-40-1,EUR,EUR,5.88,0,5.88,3.68,EUR,1,0,3.68,50,1 day,135g Gloss,A3,EUR,RPI print,TNT-AVG
PO-135G-A3-100-40-1,EUR,EUR,10.76,0,10.76,3.68,EUR,1,0,3.68,100,1 day,135g Gloss,A3,EUR,RPI print,TNT-AVG
PO-135G-A2-250-40-4,EUR,EUR,38,1,38,0,EUR,2,1,0,250,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A1-50-40-4,EUR,EUR,61,2,61,3.68,EUR,1,1,3.68,50,4 days,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-100-40-4,EUR,EUR,50.95,1,50.95,0,EUR,2,1,0,100,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-100-40-2,EUR,EUR,20.5,0,20.5,3.68,EUR,1,1,3.68,100,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-250-40-1,EUR,EUR,47.5,0,47.5,3.68,EUR,1,0,3.68,250,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
